obsid,norad
1165770136,30709
1165770136,41336
1165770136,2144
1165770016,33770
1165770016,30709
1165769896,34313
1165769896,30774
1165769776,31291
1165769776,506
1165769656,31953
1165769656,107
1165769656,31291
1165769536,31953
1165769416,26241
1165769416,20301
1165769416,30212
1165769416,34893
1165769296,13498
1165769296,30262
1165769296,26241
1165769176,32320
1165769176,30548
1165769176,35325
1165769176,13498
1165769056,22327
1165769056,14950
1165769056,32320
1165768936,39888
1165768936,35062
1165768816,1722
1165768816,22353
1165768816,19054
1165768816,38057
1165768816,40076
1165768816,39888
1165768696,37331
1165768696,36149
1165768696,22353
1165768696,1722
1165768576,30010
1165768576,18274
1165768576,32338
1165768576,4719
1165768576,41337
1165768576,36149
1165768576,37331
1165768456,37006
1165768456,30010
