obsid,norad
1160485192,31426
1160485192,4256
1160485192,34997
1160485192,30434
1160485192,12298
1160485192,22459
1160485072,36222
1160485072,25359
1160485072,31328
1160485072,30289
1160485072,2777
1160485072,31056
1160485072,31482
1160485072,31426
1160484952,12781
1160484952,30072
1160484952,36451
1160484952,4921
1160484952,31328
1160484952,30289
1160484712,27605
1160484712,35136
1160484712,31203
1160484712,30627
1160484592,36280
1160484592,37405
1160484592,30837
1160484592,35136
1160484592,27605
1160484472,19026
1160484472,31356
1160484472,12757
1160484472,22339
1160484472,31339
1160484472,36232
1160484472,30705
1160484352,12167
1160484352,35824
1160484352,30905
1160484352,31356
1160484352,31339
1160484232,23457
1160484232,30246
1160484232,12167
1160484112,17589
1160484112,34448
1160484112,29892
1160484112,28118
1160483992,34295
1160483992,35077
1160483992,17589
1160483872,25413
1160483872,14420
1160483872,38269
1160483872,35272
1160483752,31213
1160483752,37404
1160483752,29906
1160483752,30202
1160483632,31213
1160483632,29906
1160483632,30202
1160483512,31365
1160483512,11326
1160483392,30338
1160483392,30982
1160483392,12177
1160483392,32324
1160483392,17107
1160483392,31365
