obsid,norad
1160496112,39544
1160496112,41487
1160496112,41490
1160495992,31358
1160495992,34432
1160495872,16681
1160495872,34850
1160495872,41476
1160495872,36713
1160495752,27371
1160495752,37550
1160495752,32218
1160495752,23608
1160495752,31073
1160495752,16681
1160495632,14154
1160495632,17429
1160495632,30975
1160495632,9953
1160495632,25561
1160495632,41489
1160495512,37413
1160495512,31410
1160495512,14154
1160495512,10183
1160495512,17429
1160495392,41597
1160495272,32448
1160495152,39255
1160495032,34746
1160494792,29678
1160494792,35613
1160494792,24378
1160494792,31296
1160494792,25756
1160494792,1291
1160494672,16864
1160494672,8419
1160494672,39150
1160494672,33950
1160494672,14442
1160494672,29678
1160494672,35613
1160494552,13022
1160494552,4938
1160494432,29837
1160494432,10261
1160494432,17800
1160494432,13022
