obsid,norad
1160501632,30612
1160501632,34752
1160501632,32311
1160501632,25510
1160501512,1682
1160501512,4589
1160501512,22784
1160501512,30612
1160501392,36159
1160501392,26141
1160501392,4589
1160501272,36159
1160501152,31883
1160501152,14466
1160501032,30032
1160501032,33869
1160501032,31883
1160500912,13034
1160500912,13718
1160500792,37986
1160500792,31346
1160500792,33959
1160500672,37986
1160500672,4180
1160500552,36906
1160500432,30013
1160500432,28480
1160500312,30128
1160500312,25199
1160500312,4160
1160500312,28480
1160500192,11511
1160500192,10974
1160500192,23827
1160500192,31151
1160500072,36923
1160500072,323
1160500072,11511
1160500072,23827
1160499952,7768
1160499952,36923
