obsid,norad
1160486992,29792
1160486872,30821
1160486872,33690
1160486752,30037
1160486752,33690
1160486752,30821
1160486632,36139
1160486632,33806
1160486632,30037
1160486512,40020
1160486512,37442
1160486512,14811
1160486512,36139
1160486512,22237
1160486392,12669
1160486392,34987
1160486392,35354
1160486392,24926
1160486392,40020
1160486272,2050
1160486272,31188
1160486272,5126
1160486272,36419
1160486272,5126
1160486272,37831
1160486152,29899
1160486152,38168
1160486152,22438
1160486152,31188
1160486152,2050
1160486032,12242
1160486032,1244
1160486032,17153
1160485912,12731
1160485912,12242
1160485792,10520
1160485792,12731
1160485792,39358
1160485672,31727
1160485672,23344
1160485552,37832
1160485432,36100
1160485432,1328
1160485432,26178
1160485432,8970
1160485312,30434
1160485312,22459
1160485312,12298
1160485312,8978
