obsid,norad
1160483272,22568
1160483272,3494
1160483272,13504
1160483272,31440
1160483272,35130
1160483272,40928
1160483272,30338
1160483152,35675
1160483152,33675
1160483032,32958
1160483032,30719
1160483032,41184
1160483032,35905
1160483032,35675
1160482912,31519
1160482912,28498
1160482912,25290
1160482912,40501
1160482912,35109
1160482912,32958
1160482912,30719
1160482792,31519
1160482672,31513
1160482672,31542
1160482672,38524
1160482672,31047
1160482672,1682
1160482672,19112
1160482552,32129
1160482552,20915
1160482552,26545
1160482552,31542
1160482552,31513
1160482552,30066
1160482552,38524
1160482552,31047
1160482432,31815
1160482432,32129
1160482432,36658
1160482312,31946
1160482312,38547
1160482312,25289
1160482312,31815
1160482312,31630
1160482072,15541
1160481952,29997
1160481952,14974
1160481952,30918
1160481952,30494
1160481952,35866
1160481952,1835
1160481952,30221
1160481952,39255
1160481832,19659
1160481832,23090
1160481832,29976
1160481832,31509
1160481832,21986
1160481832,14974
1160481832,30918
1160481832,30494
1160481712,29913
1160481712,10261
1160481712,31509
1160481712,23090
1160481712,29976
1160481712,19659
1160481592,28773
1160481592,29913
