obsid,norad
1165766416,31459
1165766416,24871
1165766296,24298
1165766296,36327
1165766296,41439
1165766296,39153
1165766296,31459
1165766176,21335
1165766176,25736
1165766176,38707
1165766176,24298
1165766176,36327
1165766056,31074
1165766056,30196
1165766056,30095
1165765936,22224
1165765936,2142
1165765936,34614
1165765936,37567
1165765936,31433
1165765816,27628
1165765816,32218
1165765816,25759
1165765816,22224
1165765696,41396
1165765696,31286
1165765696,30400
1165765696,31296
1165765576,41163
1165765576,23707
1165765576,36940
1165765576,30720
1165765576,30400
1165765576,38708
1165765576,31286
1165765576,41396
1165765456,7009
1165765456,39152
1165765456,19852
1165765456,23007
1165765456,31410
1165765456,41163
1165765456,23707
1165765336,23093
1165765336,38732
1165765336,34432
1165765336,39152
1165765336,30733
1165765336,41480
1165765336,7009
1165765216,5384
1165765216,41567
1165765216,23093
1165765216,34432
1165765096,22543
1165765096,12663
1165765096,1829
1165765096,5384
1165764976,40594
1165764976,41527
1165764856,40040
1165764856,40594
