obsid,norad
1157493232,41727
1157493232,29092
1157493232,31088
1157493232,25478
1157493232,21369
1157493232,40674
1157492632,23607
1157492632,40414
1157492632,34439
1157492632,24796
1157492632,26374
1157492032,4420
1157490832,22357
1157490832,18961
1157490832,31336
1157490832,20435
1157490832,31258
1157490232,14358
1157490232,30701
1157490232,38177
1157490232,35147
1157489632,37667
1157489632,31699
1157489032,225
1157489032,34886
1157489032,13499
1157487832,33915
1157487832,34342
1157487832,4277
1157487232,12803
1157487232,5519
1157487232,30065
1157487232,13563
1157486632,34614
1157486632,33935
1157486632,117
1157486632,14913
1157486632,22161
1157486032,5842
1157486032,28054
1157486032,416
1157486032,5729
1157486032,26033
1157485432,27372
1157485432,4736
1157485432,30389
1157485432,10250
1157485432,26262
1157484832,30902
1157484832,14277
1157484832,21500
1157484232,34890
1157484232,22369
1157484232,38585
1157484232,35726
