obsid,norad
1160505232,24794
1160505232,25262
1160505112,6965
1160505112,24794
1160505112,25262
1160504992,12723
1160504992,28369
1160504992,38134
1160504992,35737
1160504872,11080
1160504872,33318
1160504872,10019
1160504872,31024
1160504872,12723
1160504872,38134
1160504752,21015
1160504752,24796
1160504752,34682
1160504632,5150
1160504632,10459
1160504512,30791
1160504512,10490
1160504392,26063
1160504392,17974
1160504392,167
1160504392,34705
1160504272,17974
1160504272,26063
1160504152,27387
1160504032,30654
1160504032,30075
1160504032,34292
1160504032,25138
1160504032,118
1160503912,30045
1160503792,36002
1160503792,30875
1160503792,162
1160503792,30045
1160503672,24971
1160503672,907
1160503672,31131
1160503672,31548
1160503672,36002
1160503672,30875
1160503552,14563
1160503552,30573
