obsid,norad
1157473432,12870
1157473432,28432
1157473432,28292
1157473432,30483
1157473432,30503
1157472832,20827
1157472832,35931
1157472832,41386
1157472232,4719
1157472232,10250
1157472232,40290
1157471032,22343
1157471032,31410
1157471032,33893
1157470432,37851
1157470432,21343
1157470432,38034
1157469832,41092
1157469832,31642
1157469832,38266
1157469832,31250
1157469232,33504
1157469232,10229
1157469232,40023
1157468632,41569
1157468632,41526
1157468632,1964
1157468632,37984
1157468632,41290
1157468632,41494
1157468632,41482
1157468632,41352
1157468632,34059
1157468632,20864
1157468632,120
1157468632,39160
1157467432,10062
1157467432,33697
1157467432,5349
1157467432,34116
1157467432,19106
1157467432,37899
1157467432,41415
1157466832,20885
1157466832,41299
1157466832,10571
1157466832,4867
1157466832,9807
1157466832,30152
1157466832,41264
1157466232,253
1157466232,37242
1157466232,34962
1157466232,39790
1157466232,41300
1157466232,15780
1157465632,30280
1157465632,30047
1157465632,223
1157465632,34292
1157465632,39432
1157465632,33876
1157465032,17203
1157465032,41602
1157465032,30775
1157464432,1915
1157464432,40044
1157464432,40288
