obsid,norad
1157387272,30547
1157387272,10890
1157387272,39231
1157387272,3454
1157387272,2828
1157386672,4655
1157386672,30010
1157386072,31834
1157386072,34062
1157385472,30746
1157385472,37567
1157385472,30092
1157384872,4911
1157384872,227
1157384872,30039
1157384272,21422
1157384272,31298
1157384272,41096
1157384272,40261
1157384272,5174
1157383672,23409
1157383672,33504
1157383672,41060
1157383672,19367
1157383672,33315
1157383072,40035
1157383072,25757
1157383072,25113
1157383072,29980
1157383072,1833
1157383072,41234
1157383072,31159
1157383072,41440
1157383072,40031
1157382472,15944
1157382472,30941
1157382472,11962
1157381272,41708
1157381272,39260
1157381272,41204
1157381272,41146
1157380672,32455
1157380672,23180
1157380672,41063
1157380672,41419
1157380672,5349
1157380072,41356
1157380072,25469
1157380072,17815
1157380072,37820
1157380072,30775
1157379472,40716
1157379472,37055
1157378872,14759
1157378872,17203
1157378872,37616
1157378872,39100
1157378872,7210
1157378872,31781
1157378872,34031
1157378272,29499
1157378272,34954
1157378272,36292
