obsid,norad
1160494312,30633
1160494312,31442
1160494312,2674
1160494312,29837
1160494192,18592
1160494192,31442
1160494072,33314
1160494072,30104
1160494072,31062
1160494072,40033
1160494072,40036
1160493952,22376
1160493952,30104
1160493952,33314
1160493952,31062
1160493832,12808
1160493832,26546
1160493832,38243
1160493832,31532
1160493832,35628
1160493832,22376
1160493712,12808
1160493712,29875
1160493712,26546
1160493592,41141
1160493592,30347
1160493592,30645
1160493592,25791
1160493592,40118
1160493472,25260
1160493472,4895
1160493472,31263
1160493472,7218
1160493472,30347
1160493352,30867
1160493352,41230
1160493352,41221
1160493232,30867
1160493232,30039
1160493232,41221
1160493232,41230
1160493112,41407
1160493112,40022
1160492992,41738
1160492992,1716
1160492992,41433
1160492992,39310
1160492992,35636
1160492992,10793
1160492992,12333
1160492872,41433
1160492872,41738
1160492752,41406
1160492752,7213
1160492752,41500
1160492632,41406
1160492632,40959
