obsid,norad
1160479672,37688
1160479672,37850
1160479672,20969
1160479672,29600
1160479672,30377
1160479672,29962
1160479552,12270
1160479552,30924
1160479552,35028
1160479552,37688
1160479552,32075
1160479432,35244
1160479432,14632
1160479432,2669
1160479432,8829
1160479432,34482
1160479432,2669
1160479432,12270
1160479432,30924
1160479312,39420
1160479312,35890
1160479312,14632
1160479312,2669
1160479312,31016
1160479312,35244
1160479312,34482
1160479192,30920
1160479192,39633
1160479192,40913
1160479072,26137
1160479072,30237
1160479072,30242
1160479072,30920
1160478952,10693
1160478952,14344
1160478952,12551
1160478952,30242
1160478952,26137
1160478952,30237
1160478832,32128
1160478832,21576
1160478832,30274
1160478832,31259
1160478832,10693
1160478832,14344
1160478712,13028
1160478712,32114
1160478712,30699
1160478712,30453
1160478712,32128
1160478712,5580
1160478712,21576
1160478592,33796
1160478592,13028
1160478592,32114
1160478472,25469
1160478472,30575
1160478472,32444
1160478472,22352
1160478352,25419
1160478352,25774
1160478352,227
1160478352,30575
1160478352,25469
1160478232,35384
1160478232,10518
1160478232,30138
1160478232,34008
1160478232,34968
1160478232,36326
1160478232,21342
1160478232,31335
1160478232,25419
1160478232,30765
1160478112,28599
1160478112,30181
1160478112,30138
1160477992,45
1160477992,30295
1160477992,10962
1160477992,28599
1160477872,28479
1160477872,29054
1160477872,33718
1160477872,39089
1160477872,39213
1160477872,24869
1160477872,45
1160477752,30448
1160477632,37594
1160477632,35462
1160477632,22418
1160477632,30054
1160477632,34430
1160477632,31331
1160477632,30448
