obsid,norad
1160481472,2017
1160481472,32200
1160481472,28429
1160481472,22336
1160481472,35139
1160481472,40474
1160481352,2017
1160481352,32200
1160481232,37715
1160481232,39629
1160481232,35936
1160481232,31053
1160481232,39427
1160481112,39629
1160480992,3558
1160480992,30036
1160480992,20974
1160480992,19479
1160480992,21368
1160480872,30335
1160480872,20866
1160480872,35869
1160480872,30036
1160480752,39843
1160480752,30096
1160480632,30273
1160480632,13758
1160480632,39843
1160480512,35871
1160480512,29847
1160480512,30273
1160480392,37615
1160480392,36589
1160480392,5858
1160480392,35871
1160480272,30252
1160480272,30315
1160480272,25442
1160480272,1671
1160480272,35339
1160480152,12792
1160480152,20972
1160480152,30315
1160480152,37733
1160480152,30252
1160480152,1671
1160480152,25442
1160480032,31529
1160480032,30101
1160480032,30094
1160479912,12785
1160479912,31529
1160479792,29600
1160479792,29962
1160479792,31462
1160479792,12785
