obsid,norad
1160507152,31873
1160507152,16860
1160507152,20466
1160507152,26294
1160507152,35259
1160507152,35367
1160507152,3373
1160507032,5846
1160507032,17641
1160507032,16860
1160507032,31873
1160506912,3158
1160506912,38709
1160506912,17641
1160506912,13917
1160506912,5846
1160506672,23752
1160506672,22698
1160506672,32185
1160506672,3462
1160506552,27136
1160506552,23752
1160506432,31133
1160506432,22500
1160506312,38206
1160506312,35935
1160506312,34101
1160506312,31133
1160506192,13561
1160506192,26187
1160506192,18549
1160506192,34101
1160506192,35935
1160506072,31324
1160506072,22331
1160506072,12278
1160506072,40807
1160506072,31132
1160506072,13561
1160506072,26187
1160505952,30370
1160505952,34021
1160505952,31324
1160505832,22366
1160505832,30370
1160505712,30662
1160505712,24793
1160505712,13148
1160505712,32106
1160505712,22366
1160505712,40379
1160505592,22408
1160505592,30814
1160505592,252
1160505592,5435
1160505592,30662
1160505472,41040
1160505472,38257
1160505472,22825
1160505472,22408
1160505352,27721
1160505352,22828
1160505352,33899
1160505352,33845
1160505352,24967
1160505352,41040
