obsid,norad
1157377672,5705
1157377672,20861
1157377672,24778
1157377672,29974
1157377672,33792
1157377672,40069
1157377072,31187
1157377072,9681
1157376472,29811
1157376472,29991
1157375872,39028
1157375872,22806
1157375872,10137
1157375272,17271
1157374672,32313
1157374672,12167
1157374672,25489
1157374672,37533
1157373472,22284
1157373472,40220
1157372872,18616
1157372872,31810
1157372872,40087
1157372872,5414
1157372872,22473
1157372872,30248
1157372872,406
1157372272,30951
1157372272,30982
1157372272,26931
1157371672,39984
1157371672,30560
1157371672,40510
1157371672,32167
1157371072,12671
1157371072,30021
1157371072,9444
1157371072,13497
1157371072,22
1157370472,35144
1157370472,35903
1157370472,30369
1157370472,27784
1157370472,39637
1157369872,739
1157369872,30388
1157369872,32370
1157369872,34883
1157369872,739
1157369872,36430
1157369872,36047
1157369872,28637
1157369872,40518
1157369872,30257
1157369272,35374
1157369272,20881
1157369272,2329
1157368672,3266
1157368672,4658
1157368672,29836
1157368672,6660
1157368072,37988
1157368072,39212
1157368072,25561
1157368072,37306
1157368072,34214
1157368072,2144
1157367472,40583
1157367472,39094
1157367472,37598
1157366872,29776
1157366872,31055
1157366872,31753
1157366872,37654
1157366872,30183
1157366872,34066
