obsid,norad
1160492512,18411
1160492512,41742
1160492392,33890
1160492272,40961
1160492272,31035
1160492272,20899
1160492272,13272
1160492032,37019
1160492032,41152
1160492032,903
1160491912,21329
1160491912,10796
1160491912,39211
1160491792,41507
1160491792,34066
1160491792,41659
1160491792,41772
1160491792,16987
1160491792,41267
1160491672,26142
1160491672,40010
1160491672,41707
1160491672,37331
1160491672,6207
1160491672,41214
1160491672,41659
1160491672,41507
1160491552,41771
1160491552,24756
1160491552,26142
1160491552,41707
1160491432,37515
1160491432,41536
1160491432,31486
1160491312,35689
1160491312,8969
1160491192,41504
1160491192,29812
1160491192,20624
1160491192,25506
1160491192,34764
1160491072,38799
1160491072,36093
1160491072,29812
1160491072,41504
1160490952,14209
1160490952,5758
1160490952,38799
1160490832,27142
1160490832,39979
1160490832,19831
1160490832,14209
