obsid,norad
1165757416,35383
1165757416,36238
1165757416,36346
1165757416,17843
1165757296,16882
1165757296,8685
1165757296,31192
1165757296,12442
1165757296,34082
1165757296,35383
1165757296,36238
1165757056,6659
1165757056,36186
1165757056,34787
1165757056,27386
1165757056,33905
1165757056,40288
1165757056,18602
1165756936,30755
1165756936,23190
1165756936,37032
1165756936,6659
1165756936,36186
1165756816,29901
1165756816,34014
1165756816,30648
1165756816,41833
1165756696,38517
1165756696,22438
1165756576,31227
1165756576,20580
1165756576,29228
1165756456,20580
1165756456,31227
1165756336,35351
1165756336,22339
1165756336,22494
1165756336,39816
1165756336,37560
1165756216,37363
1165756216,1682
1165756216,1961
1165756216,1864
1165756216,30521
1165756216,35351
1165756216,39816
1165756096,29815
1165756096,11060
1165756096,30418
1165756096,1961
1165755976,19054
1165755976,31807
1165755976,9681
1165755976,14819
1165755856,5052
1165755856,19054
1165755736,36730
1165755736,30355
1165755736,30308
1165755736,36632
1165755736,34815
1165755736,36100
1165755616,24794
1165755616,25262
1165755616,30607
1165755616,35253
1165755616,30689
1165755616,31199
1165755616,12343
1165755616,3177
1165755616,40472
1165755616,36730
1165755616,30355
